station_id;nom_division;name;capacity;is_valet_station;num_bikes_available;num_docks_available;is_installed;is_renting;is_returning;point_geo;last_reported_tr;is_virtual_station;vehicle_type_capacity;is_charging_station;message_velo;message_dock_dispo
ce4bghh2rcd13ifvqb60;Marseille 1er Arrondissement;National - Longchamp;20;0;1;19;1;1;1;43.301396, 5.387812;2025-11-26T23:19:01+00:00;0;"{""1"": 19, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 19, ""4"": 19, ""5"": 0, ""6"": 0, ""7"": 19}";1;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bgi92rcd13ifvqb90;Marseille 1er Arrondissement;Canebière Saint-Ferreol;20;0;1;18;1;1;1;43.296278, 5.37712;2025-11-26T23:19:01+00:00;0;"{""1"": 19, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 19, ""4"": 19, ""5"": 0, ""6"": 0, ""7"": 19}";1;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bgih2rcd13ifvqba0;Marseille 1er Arrondissement;Sibie - Curiol;20;0;1;20;1;1;1;43.29529, 5.385581;2025-11-26T23:19:01+00:00;0;"{""1"": 20, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 20, ""4"": 20, ""5"": 0, ""6"": 0, ""7"": 20}";0;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bgj12rcd13ifvqbc0;Marseille 1er Arrondissement;Allées Gambetta;30;0;3;26;1;1;1;43.299028, 5.381509;2025-11-26T23:19:01+00:00;0;"{""1"": 29, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 29, ""4"": 29, ""5"": 0, ""6"": 0, ""7"": 29}";1;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bgj92rcd13ifvqbd0;Marseille 1er Arrondissement;Réformés Canebière;30;0;0;28;1;1;1;43.299719, 5.384854;2025-11-26T23:19:01+00:00;0;"{""1"": 30, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 30, ""4"": 30, ""5"": 0, ""6"": 0, ""7"": 30}";1;Aucun vélo disponible;Plus de trois docks disponibles
ce4bgkh2rcd13ifvqbk0;Marseille 1er Arrondissement;Longchamp - Grobet;20;0;1;19;1;1;1;43.302997, 5.392138;2025-11-26T23:19:01+00:00;0;"{""1"": 19, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 19, ""4"": 19, ""5"": 0, ""6"": 0, ""7"": 19}";0;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bgkh2rcd13ifvqbl0;Marseille 1er Arrondissement;Centre Bourse;20;0;0;19;1;1;1;43.297067, 5.376836;2025-11-26T23:19:01+00:00;0;"{""1"": 20, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 20, ""4"": 20, ""5"": 0, ""6"": 0, ""7"": 20}";1;Aucun vélo disponible;Plus de trois docks disponibles
ce4bgl92rcd13ifvqbq0;Marseille 2e Arrondissement;Arenc - Chanterac;50;0;2;48;1;1;1;43.312239, 5.368562;2025-11-26T23:19:01+00:00;0;"{""1"": 48, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 48, ""4"": 48, ""5"": 0, ""6"": 0, ""7"": 48}";1;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bgqh2rcd13ifvqc4g;Marseille 2e Arrondissement;Paris - Forbin;20;0;4;16;1;1;1;43.30606, 5.372256;2025-11-26T23:19:01+00:00;0;"{""1"": 16, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 16, ""4"": 16, ""5"": 0, ""6"": 0, ""7"": 16}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bgqh2rcd13ifvqc5g;Marseille 2e Arrondissement;République - Joliette;20;0;12;7;1;1;1;43.303042, 5.368994;2025-11-26T23:19:01+00:00;0;"{""1"": 20, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 20, ""4"": 20, ""5"": 0, ""6"": 0, ""7"": 20}";1;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bgr92rcd13ifvqc6g;Marseille 2e Arrondissement;Tour La Marseillaise;20;0;1;19;1;1;1;43.313389, 5.367081;2025-11-26T23:19:01+00:00;0;"{""1"": 19, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 19, ""4"": 19, ""5"": 0, ""6"": 0, ""7"": 19}";0;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bgt92rcd13ifvqcf0;Marseille 3e Arrondissement;Place Placide Caffo;20;0;6;16;1;1;1;43.313571, 5.384829;2025-11-26T23:19:01+00:00;0;"{""1"": 16, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 16, ""4"": 16, ""5"": 0, ""6"": 0, ""7"": 16}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bgup2rcd13ifvqcn0;Marseille 3e Arrondissement;Saint Charles - Faculté;30;0;2;28;1;1;1;43.304606, 5.379026;2025-11-26T23:19:01+00:00;0;"{""1"": 27, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 27, ""4"": 27, ""5"": 0, ""6"": 0, ""7"": 27}";1;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bgup2rcd13ifvqco0;Marseille 3e Arrondissement;Friche Belle de Mai;20;0;4;19;1;1;1;43.309589, 5.390258;2025-11-26T23:19:01+00:00;0;"{""1"": 19, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 19, ""4"": 19, ""5"": 0, ""6"": 0, ""7"": 19}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bgvh2rcd13ifvqcs0;Marseille 4e Arrondissement;Blancarde - Duparc;20;0;7;13;1;1;1;43.302759, 5.400793;2025-11-26T23:19:01+00:00;0;"{""1"": 13, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 13, ""4"": 13, ""5"": 0, ""6"": 0, ""7"": 13}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bgvp2rcd13ifvqct0;Marseille 4e Arrondissement;Eglise des Chartreux;20;0;8;12;1;1;1;43.309371, 5.401449;2025-11-26T23:19:01+00:00;0;"{""1"": 12, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 12, ""4"": 12, ""5"": 0, ""6"": 0, ""7"": 12}";1;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bh012rcd13ifvqcv0;Marseille 4e Arrondissement;Chutes Lavie - Dahdah;20;0;10;11;1;1;1;43.309047, 5.396549;2025-11-26T23:19:01+00:00;0;"{""1"": 11, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 11, ""4"": 11, ""5"": 0, ""6"": 0, ""7"": 11}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bh012rcd13ifvqd00;Marseille 4e Arrondissement;Saint-Just - Le Dôme;20;0;1;19;1;1;1;43.31683, 5.404722;2025-11-26T23:19:01+00:00;0;"{""1"": 19, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 19, ""4"": 19, ""5"": 0, ""6"": 0, ""7"": 19}";1;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bh0h2rcd13ifvqd40;Marseille 4e Arrondissement;Foch - Fayolle;20;0;3;18;1;1;1;43.301229, 5.398615;2025-11-26T23:19:01+00:00;0;"{""1"": 18, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 18, ""4"": 18, ""5"": 0, ""6"": 0, ""7"": 18}";0;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bh112rcd13ifvqd90;Marseille 4e Arrondissement;Foch - Boisson;20;0;1;19;1;1;1;43.297961, 5.404053;2025-11-26T23:19:01+00:00;0;"{""1"": 19, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 19, ""4"": 19, ""5"": 0, ""6"": 0, ""7"": 19}";0;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bh112rcd13ifvqda0;Marseille 4e Arrondissement;Duparc - Brossolette;20;0;7;14;1;1;1;43.306414, 5.401029;2025-11-26T23:19:01+00:00;0;"{""1"": 14, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 14, ""4"": 14, ""5"": 0, ""6"": 0, ""7"": 14}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bh192rcd13ifvqdd0;Marseille 5e Arrondissement;Saint-Pierre - Hugueny;20;0;13;9;1;1;1;43.292005, 5.392897;2025-11-26T23:19:01+00:00;0;"{""1"": 9, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 9, ""4"": 9, ""5"": 0, ""6"": 0, ""7"": 9}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bh292rcd13ifvqdf0;Marseille 5e Arrondissement;Chave - Goudard;20;0;2;19;1;1;1;43.295197, 5.39397;2025-11-26T23:19:01+00:00;0;"{""1"": 18, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 18, ""4"": 18, ""5"": 0, ""6"": 0, ""7"": 18}";0;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bh312rcd13ifvqdk0;Marseille 5e Arrondissement;Sakakini - Saint-Pierre;20;0;8;18;1;1;1;43.292724, 5.401131;2025-11-26T23:19:01+00:00;0;"{""1"": 18, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 18, ""4"": 18, ""5"": 0, ""6"": 0, ""7"": 18}";1;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bh392rcd13ifvqdm0;Marseille 5e Arrondissement;Jean Moulin - Hôpital La Timone;20;0;9;12;1;1;1;43.29041, 5.399634;2025-11-26T23:19:01+00:00;0;"{""1"": 13, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 13, ""4"": 13, ""5"": 0, ""6"": 0, ""7"": 13}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bh3p2rcd13ifvqdp0;Marseille 5e Arrondissement;Chave Eugene Pierre;20;0;3;19;1;1;1;43.295169, 5.390426;2025-11-26T23:19:01+00:00;0;"{""1"": 20, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 20, ""4"": 20, ""5"": 0, ""6"": 0, ""7"": 20}";0;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bh412rcd13ifvqds0;Marseille 6e Arrondissement;Notre-Dame - Vauban;20;0;21;12;1;1;1;43.283998, 5.375062;2025-11-26T23:19:01+00:00;0;"{""1"": 12, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 12, ""4"": 12, ""5"": 0, ""6"": 0, ""7"": 12}";1;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bh512rcd13ifvqe3g;Marseille 6e Arrondissement;Castellane;50;0;2;46;1;1;1;43.28479, 5.384124;2025-11-26T23:19:01+00:00;0;"{""1"": 48, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 48, ""4"": 48, ""5"": 0, ""6"": 0, ""7"": 48}";1;Moins de trois vélos disponibles;Plus de trois docks disponibles
ce4bh9p2rcd13ifvqec0;Marseille 6e Arrondissement;Paradis - Vignerons;20;0;6;14;1;1;1;43.287184, 5.379377;2025-11-26T23:19:01+00:00;0;"{""1"": 14, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 14, ""4"": 14, ""5"": 0, ""6"": 0, ""7"": 14}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
ce4bha12rcd13ifvqee0;Marseille 6e Arrondissement;Vallon Montebello;20;0;5;17;1;1;1;43.281044, 5.378308;2025-11-26T23:19:01+00:00;0;"{""1"": 17, ""10"": 0, ""14"": 0, ""15"": 0, ""2"": 17, ""4"": 17, ""5"": 0, ""6"": 0, ""7"": 17}";0;Plus de trois vélo disponibles;Plus de trois docks disponibles
